ID,SIGLA,NOME,DEFERIMENTO,PRES. NACIONAL,Nº DA LEGENDA, IDEOLOGIA
1,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,30.6.1981,LUIZ FELIPE BALEIA TENUTO ROSSI,15, CENTRO
2,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,10.11.1981,CARLOS ROBERTO LUPI,12, ESQUERDA
3,PT,PARTIDO DOS TRABALHADORES,11.2.1982,EDSON ANTONIO EDINHO DA SILVA,13, ESQUERDA
4,PCdoB,PARTIDO COMUNISTA DO BRASIL,23.6.1988,LUCIANA BARBOSA DE OLIVEIRA SANTOS,65, ESQUERDA
5,PSB,PARTIDO SOCIALISTA BRASILEIRO,1°.7.1988,JOÃO HENRIQUE DE ANDRADE LIMA CAMPOS,40, ESQUERDA
6,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24.8.1989,MARCONI FERREIRA PERILLO JÚNIOR,45, CENTRO
7,AGIR,AGIR,22.2.1990,DANIEL S. TOURINHO,36, DIREITA
8,MOBILIZA,MOBILIZAÇÃO NACIONAL,25.10.1990,ANTONIO CARLOS BOSCO MASSAROLLO,33, DIREITA
9,CIDADANIA,CIDADANIA,19.3.1992,PLÍNIO COMTE LEITE BITTENCOURT,23, ESQUERDA
10,PV,PARTIDO VERDE,30.9.1993,JOSÉ LUIZ DE FRANÇA PENNA,43, ESQUERDA
11,AVANTE,AVANTE,11.10.1994,LUIS HENRIQUE DE OLIVEIRA RESENDE,70, CENTRO
12,PP,PROGRESSISTAS,16.11.1995,CIRO NOGUEIRA LIMA FILHO,11, ESQUERDA
13,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,19.12.1995,JOSÉ MARIA DE ALMEIDA,16, ESQUERDA
14,PCB,PARTIDO COMUNISTA BRASILEIRO,9.5.1996,EDMILSON SILVA COSTA*,21, ESQUERDA
15,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,18.2.1997,ANTONIO AMAURI MALAQUIAS DE PINHO,28, ESQUERDA
16,DC,DEMOCRACIA CRISTÃ,5.8.1997,JOÃO CALDAS DA SILVA (Presidente em exercício),27, CENTRO
17,PCO,PARTIDO DA CAUSA OPERÁRIA,30.9.1997,RUI COSTA PIMENTA,29, ESQUERDA
18,PODEMOS,PODEMOS,2.10.1997,RENATA HELLMEISTER DE ABREU,20, CENTRO
19,REPUBLICANOS,REPUBLICANOS,25.8.2005,MARCOS ANTONIO PEREIRA,10, DIREITA
20,PSOL,PARTIDO SOCIALISMO E LIBERDADE,15.9.2005,PAULA BERMUDES MORAES CORADI (Presidente),50, ESQUERDA
21,PL,PARTIDO LIBERAL,19.12.2006,VALDEMAR COSTA NETO,22, DIREITA
22,PSD,PARTIDO SOCIAL DEMOCRÁTICO,27.9.2011,GILBERTO KASSAB,55, CENTRO
23,SOLIDARIEDADE,SOLIDARIEDADE,24.9.2013,PAULO PEREIRA DA SILVA,77, CENTRO
24,NOVO,PARTIDO NOVO,15.9.2015,EDUARDO RODRIGO FERNANDES RIBEIRO,30, DIREITA
25,REDE,REDE SUSTENTABILIDADE,22.9.2015,PAULO ROBERTO LAMAC JUNIOR,18, ESQUERDA
26,PMB,PARTIDO DA MULHER BRASILEIRA,29.9.2015,SUÊD HAIDAR NOGUEIRA,35, CENTRO
27,UP,UNIDADE POPULAR,10.12.2019,LEONARDO PERICLES VIEIRA ROQUE,80, ESQUERDA
28,UNIÃO,UNIÃO BRASIL,8.2.2022,ANTÔNIO EDUARDO GONÇALVES DE RUEDA,44, DIREITA
29,PRD,PARTIDO RENOVAÇÃO DEMOCRÁTICA,9.11.2023,Marcus Vinícius de Vasconcelos Ferreira,25, DIREITA